Time, Min, Max
1420092000, 16.68, 30.91
1420178400, 21.87, 33.14
1420264800, 30.84, 34.88
1420351200, 6.7, 34.6
1420437600, -1.39, 8.23
1420524000, 4.9, 11.58
1420610400, -3.16, 8.47
1420696800, -6.31, 18.81
1420783200, 3.35, 14.3
1420869600, 0.85, 24.52
1420956000, 24.61, 32.81
1421042400, 20.42, 29.38
1421128800, 11.28, 21.43
1421215200, 6.54, 19.8
1421301600, 17.4, 34.28
1421388000, 25.24, 33.45
1421474400, 29.18, 42.26
1421560800, 32.29, 40.77
1421647200, 27.58, 38.89
1421733600, 32.63, 37.13
1421820000, 30.72, 33.54
1421906400, 29.84, 32.88
1421992800, 29.64, 32.14
1422079200, 31.02, 42.53
1422165600, 25.54, 35.03
1422252000, 19.87, 27.02
1422338400, 24.76, 30.02
1422424800, 22.86, 34.74
1422511200, 32.39, 36.72
1422597600, 23.09, 30.6
1422684000, 22.91, 37.13
1422770400, 21.46, 31.8
1422856800, 9.95, 20.95
1422943200, 8.93, 27.98
1423029600, 13.19, 28.36
1423116000, 4.88, 16.81
1423202400, 15.22, 30.8
1423288800, 26.74, 42.75
1423375200, 29.8, 42.11
1423461600, 26.14, 29.23
1423548000, 25.17, 30.12
1423634400, 21.89, 36.3
1423720800, 11.13, 20.93
1423807200, 8.15, 28.22
1423893600, 5.44, 28.49
1423980000, 0.13, 13.4
1424066400, 7.46, 16.21
1424152800, 11.95, 19.93
1424239200, 0.47, 10.81
1424325600, -5.17, 5.66
1424412000, -0.23, 19.79
1424498400, 18.48, 29.08
1424584800, 8.02, 29.26
1424671200, -0.22, 14.08
1424757600, 6.72, 30.49
1424844000, 17.25, 25.86
1424930400, 7.93, 20.83
1425016800, 3.53, 16.31
1425103200, 1.39, 21.41
1425189600, 18.13, 26.23
1425276000, 16.4, 28.92
1425362400, 25.9, 35.88
1425448800, 14.92, 32.26
1425535200, 9.33, 17.73
1425621600, 6.15, 25.85
1425708000, 25.63, 45.56
1425794400, 32.04, 41.23
1425877200, 30.69, 48.98
1425963600, 36.78, 51.35
1426050000, 36.02, 44.38
1426136400, 32.34, 50.79
1426222800, 39.18, 61.06
1426309200, 38.15, 50.78
1426395600, 34, 61.3
1426482000, 46.42, 72.74
1426568400, 33.08, 43.86
1426654800, 31.12, 44.89
1426741200, 39.15, 43.87
1426827600, 38.44, 48.05
1426914000, 33.69, 45.83
1427000400, 29.86, 33.89
1427086800, 28.8, 32.66
1427173200, 26.48, 37.53
1427259600, 37.73, 42.26
1427346000, 33.8, 40.29
1427432400, 25.2, 33.66
1427518800, 23.59, 31.71
1427605200, 27.53, 48.79
1427691600, 37.05, 60.77
1427778000, 38.55, 55.19
1427864400, 41.69, 72.3
1427950800, 52.46, 62.8
1428037200, 33.98, 53.33
1428123600, 31.67, 58.44
1428210000, 47.5, 65.73
1428296400, 40.15, 57.62
1428382800, 38.61, 44.99
1428469200, 40.77, 47.16
1428555600, 43.27, 72.1
1428642000, 41.84, 61.21
1428728400, 40.53, 61.21
1428814800, 46.59, 67.07
1428901200, 56.33, 65.96
1428987600, 47.75, 57.57
1429074000, 43.8, 56.94
1429160400, 43.95, 54.86
1429246800, 50.09, 72.13
1429333200, 45.76, 64.74
1429419600, 47.92, 60.12
1429506000, 44.83, 53.79
1429592400, 41.69, 54.81
1429678800, 36.9, 45.76
1429765200, 35.52, 47.51
1429851600, 36.93, 53.31
1429938000, 40.45, 45.09
1430024400, 39.93, 49.4
1430110800, 41.56, 49.95
1430197200, 39.05, 50.56
1430283600, 41.83, 54.26
1430370000, 41.2, 45.76
1430456400, 41.49, 56.89
1430542800, 54.9, 74.12
1430629200, 60.2, 78.69
1430715600, 52.68, 70
1430802000, 47.6, 53.75
1430888400, 47.47, 65.9
1430974800, 52.48, 82.85
1431061200, 62.89, 79.59
1431147600, 45.83, 63.2
1431234000, 44.59, 50.68
1431320400, 46.23, 68.96
1431406800, 49.49, 55.5
1431493200, 43.74, 49.01
1431579600, 44.04, 63.81
1431666000, 59, 75.72
1431752400, 65.54, 77.66
1431838800, 66.7, 79.44
1431925200, 53.02, 78.05
1432011600, 42.54, 51.3
1432098000, 42.3, 46.12
1432184400, 46.14, 67.2
1432270800, 48.19, 60.16
1432357200, 52.53, 73.39
1432443600, 62.53, 72.08
1432530000, 68.61, 79.4
1432616400, 67.44, 74.07
1432702800, 61.55, 73.53
1432789200, 59.55, 77.08
1432875600, 66.46, 80.58
1432962000, 45.8, 72.94
1433048400, 43.49, 51.57
1433134800, 48, 55.04
1433221200, 45.99, 63.86
1433307600, 54.56, 71.46
1433394000, 61.37, 78.13
1433480400, 54.34, 72.4
1433566800, 51.8, 62.37
1433653200, 55.16, 79.29
1433739600, 62.89, 83.14
1433826000, 61.36, 83.32
1433912400, 68.04, 91.65
1433998800, 60.74, 68.27
1434085200, 55.23, 68.53
1434171600, 55.46, 80.08
1434258000, 68.63, 82.57
1434344400, 70.22, 78.57
1434430800, 57.36, 71.37
1434517200, 55.98, 64.98
1434603600, 59.06, 80.49
1434690000, 54.73, 60.87
1434776400, 55.82, 78.36
1434862800, 69.14, 82.6
1434949200, 71.39, 83.77
1435035600, 65.8, 76.49
1435122000, 63.79, 76.59
1435208400, 62.8, 76.34
1435294800, 60.17, 65.15
1435381200, 59.41, 69.68
1435467600, 58.07, 74.72
1435554000, 64.68, 69.29
1435640400, 59.69, 72.71
1435726800, 56.57, 62.06
1435813200, 55.41, 64.17
1435899600, 60.25, 70.55
1435986000, 62.54, 75.38
1436072400, 66.2, 79.06
1436158800, 68.99, 82.37
1436245200, 57.95, 72.92
1436331600, 57.41, 63.76
1436418000, 59.63, 68.23
1436504400, 63.27, 74.65
1436590800, 64.32, 76.43
1436677200, 66.91, 76.27
1436763600, 68.3, 85.37
1436850000, 63.45, 77.41
1436936400, 60.92, 69.67
1437022800, 61.99, 74.81
1437109200, 71.65, 90.12
1437195600, 74.55, 84.74
1437282000, 72.39, 81.23
1437368400, 68.21, 85.26
1437454800, 68.53, 76.01
1437541200, 66.52, 77.79
1437627600, 67.34, 79.39
1437714000, 69.62, 83.49
1437800400, 73.25, 86.84
1437886800, 69.01, 76.9
1437973200, 70.27, 82.85
1438059600, 72.78, 85.8
1438146000, 75.79, 86.54
1438232400, 68.71, 86.98
1438318800, 70.06, 86.37
1438405200, 66.1, 85.85
1438491600, 72.29, 90.25
1438578000, 66.84, 80.07
1438664400, 64.43, 80.52
1438750800, 64.84, 78.39
1438837200, 69.1, 77.8
1438923600, 66.79, 79.9
1439010000, 70.28, 80.18
1439096400, 69.32, 77.55
1439182800, 71.54, 79.06
1439269200, 69.16, 76.39
1439355600, 66.07, 73.98
1439442000, 67.12, 83.11
1439528400, 71.03, 87.56
1439614800, 69.63, 83.86
1439701200, 72.95, 87.59
